Project,BugID,Filename,Path,Method name,,Exception,Label,,,Unique Exception,Unique Filename,Method name
Eclipse_Platform_UI,100799,BundleLoader.java,org.eclipse.osgi.framework.internal.core.BundleLoader,findClass,,UnsupportedClassVersionError,,,,UnsupportedClassVersionError,BundleLoader.java,findClass
Eclipse_Platform_UI,100799,AbstractClassLoader.java,org.eclipse.osgi.framework.adaptor.core.AbstractClassLoader,loadClass,,UnsupportedClassVersionError,,,,InvalidRegistryObjectException,AbstractClassLoader.java,loadClass
Eclipse_Platform_UI,100799,ClassLoader.java,java.lang.ClassLoader,loadClass,,UnsupportedClassVersionError,,,,NullPointerException,ClassLoader.java,loadClass
Eclipse_Platform_UI,100799,BundleLoader.java,org.eclipse.osgi.framework.internal.core.BundleLoader,loadClass,,UnsupportedClassVersionError,,,,ResourceException,BundleHost.java,loadClass
Eclipse_Platform_UI,100799,BundleHost.java,org.eclipse.osgi.framework.internal.core.BundleHost,loadClass,,UnsupportedClassVersionError,,,,ArrayIndexOutOfBoundsException,AbstractBundle.java,loadClass
Eclipse_Platform_UI,100799,AbstractBundle.java,org.eclipse.osgi.framework.internal.core.AbstractBundle,loadClass,,UnsupportedClassVersionError,,,,ClassCastException,ConfigurationElement.java,loadClass
Eclipse_Platform_UI,100799,ConfigurationElement.java,org.eclipse.core.internal.registry.ConfigurationElement,createExecutableExtension,,UnsupportedClassVersionError,,,,SWTException,ConfigurationElementHandle.java,createExecutableExtension
Eclipse_Platform_UI,100799,ConfigurationElementHandle.java,org.eclipse.core.internal.registry.ConfigurationElementHandle,createExecutableExtension,,UnsupportedClassVersionError,,,,IllegalStateException,WorkbenchPlugin.java,createExecutableExtension
Eclipse_Platform_UI,100799,WorkbenchPlugin.java,org.eclipse.ui.internal.WorkbenchPlugin$1,run,,UnsupportedClassVersionError,,,,StackOverflowError,BusyIndicator.java,run
Eclipse_Platform_UI,100799,BusyIndicator.java,org.eclipse.swt.custom.BusyIndicator,showWhile,,UnsupportedClassVersionError,,,,ConcurrentModificationException,WorkbenchPlugin.java,showWhile
Eclipse_Platform_UI,100799,WorkbenchPlugin.java,org.eclipse.ui.internal.WorkbenchPlugin,createExtension,,UnsupportedClassVersionError,,,,IllegalAccessException,ViewDescriptor.java,createExtension
Eclipse_Platform_UI,100799,ViewDescriptor.java,org.eclipse.ui.internal.registry.ViewDescriptor,createView,,UnsupportedClassVersionError,,,,IllegalArgumentException,ViewReference.java,createView
Eclipse_Platform_UI,100799,ViewReference.java,org.eclipse.ui.internal.ViewReference,createPartHelper,,UnsupportedClassVersionError,,,,AssertionFailedError,WorkbenchPartReference.java,createPartHelper
Eclipse_Platform_UI,100799,ViewReference.java,org.eclipse.ui.internal.ViewReference,createPart,,UnsupportedClassVersionError,,,,BackingStoreException,Perspective.java,createPart
