Project,BugID,Filename,Path,Method name,,Exception,Label,,,Filename,,Method name,Exception
Hbase,HBASE-1000,Chore.java,org.apache.hadoop.hbase.Chore,run,,NullPointerException,,,,RPC.java,,run,ForeignException
Hbase,HBASE-1000,Client.java,org.apache.hadoop.ipc.Client$Connection,sendParam,,NullPointerException,,,,FileSystem.java,,sendParam,BindException
Hbase,HBASE-10005,Assert.java,org.junit.Assert,fail,,AssertionError,,,,FileSystem.java,,fail,KeeperException$NotEmptyException
Hbase,HBASE-10005,Assert.java,org.junit.Assert,failNotEquals,,AssertionError,,,,ShutdownHookManager.java,,failNotEquals,BucketAllocatorException
Hbase,HBASE-10005,Assert.java,org.junit.Assert,assertEquals,,AssertionError,,,,LoggerFactory.java,,assertEquals,KeeperException$NoNodeException
Hbase,HBASE-10005,TestVisibilityLabels.java,org.apache.hadoop.hbase.security.visibility.TestVisibilityLabels,testAddVisibilityLabelsOnRSRestart,,AssertionError,,,,URLClassLoader.java,,testAddVisibilityLabelsOnRSRestart,UnsupportedOperationException
Hbase,HBASE-10005,Assert.java,org.junit.Assert,assertTrue,,AssertionError,,,,Native Method,,assertTrue,ExecutionException
Hbase,HBASE-10005,TestVisibilityLabels.java,org.apache.hadoop.hbase.security.visibility.TestVisibilityLabels,testClearUserAuths,,AssertionError,,,,URLClassLoader.java,,testClearUserAuths,FileSystemVersionException
Hbase,HBASE-10015,FSNamesystem.java,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,getAdditionalBlock,,RemoteException,,,,ClassLoader.java,,getAdditionalBlock,ServiceException
Hbase,HBASE-10015,NameNode.java,org.apache.hadoop.hdfs.server.namenode.NameNode,addBlock,,RemoteException,,,,Launcher.java,,addBlock,NoSuchElementException
Hbase,HBASE-10015,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,RemoteException,,,,Native Method,,invoke0,InvalidProtocolBufferException
Hbase,HBASE-10015,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,RemoteException,,,,Class.java,,invoke,NoSuchMethodException
Hbase,HBASE-10015,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,RemoteException,,,,Configuration.java,,invoke,NoServerForRegionException
Hbase,HBASE-10015,Method.java,java.lang.reflect.Method,invoke,,RemoteException,,,,HbaseObjectWritable.java,,invoke,UnknownHostException
Hbase,HBASE-10026,TestAdmin.java,org.apache.hadoop.hbase.client.TestAdmin$3,run,,RegionOfflineException,,,,FilterList.java,,run,LeaseException
Hbase,HBASE-10026,HBaseAdmin.java,org.apache.hadoop.hbase.client.HBaseAdmin,createTable,,RegionOfflineException,,,,Get.java,,createTable,MojoExecutionException
Hbase,HBASE-10029,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,,HadoopIllegalArgumentException,,,,Action.java,,invoke,NamespaceExistException
Hbase,HBASE-10029,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,,HadoopIllegalArgumentException,,,,MultiAction.java,,close,
Hbase,HBASE-10029,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,HadoopIllegalArgumentException,,,,Invocation.java,,stopProxy,RuntimeException
Hbase,HBASE-10029,Method.java,java.lang.reflect.Method,invoke,,HadoopIllegalArgumentException,,,,HBaseServer.java,,closeConnectionToNamenode,TableInfoMissingException
Hbase,HBASE-10029,HFileSystem.java,org.apache.hadoop.hbase.fs.HFileSystem$1,invoke,,HadoopIllegalArgumentException,,,,HBaseServer.java,,close,CancelledKeyException
Hbase,HBASE-10029,Unknown Source,$Proxy16,close,,HadoopIllegalArgumentException,,,,HBaseServer.java,,close,InterruptedIOException
Hbase,HBASE-10029,RPC.java,org.apache.hadoop.ipc.RPC,stopProxy,,HadoopIllegalArgumentException,,,,ThreadPoolExecutor.java,,closeAll,ClassCastException
Hbase,HBASE-10029,DFSClient.java,org.apache.hadoop.hdfs.DFSClient,closeConnectionToNamenode,,HadoopIllegalArgumentException,,,,DFSClient.java,,run,RaiseException
Hbase,HBASE-10029,DFSClient.java,org.apache.hadoop.hdfs.DFSClient,close,,HadoopIllegalArgumentException,,,,DFSClient.java,,run,RetriesExhaustedException
Hbase,HBASE-10029,DistributedFileSystem.java,org.apache.hadoop.hdfs.DistributedFileSystem,close,,HadoopIllegalArgumentException,,,,FSDataOutputStream.java,,<clinit>,Leases$LeaseStillHeldException
Hbase,HBASE-10029,FileSystem.java,org.apache.hadoop.fs.FileSystem$Cache,closeAll,,HadoopIllegalArgumentException,,,,SequenceFile.java,,run,MultipleIOException
Hbase,HBASE-10029,FileSystem.java,org.apache.hadoop.fs.FileSystem$Cache$ClientFinalizer,run,,HadoopIllegalArgumentException,,,,HLog.java,,doPrivileged,ArithmeticException
Hbase,HBASE-10029,ShutdownHookManager.java,org.apache.hadoop.util.ShutdownHookManager$1,run,,HadoopIllegalArgumentException,,,,HRegionServer.java,,findClass,SocketTimeoutException
Hbase,HBASE-10073,LoggerFactory.java,org.slf4j.LoggerFactory,<clinit>,,IllegalAccessError,,,,TestNodeHealthCheckChore.java,,loadClass,UnsatisfiedLinkError
Hbase,HBASE-10078,URLClassLoader.java,java.net.URLClassLoader$1,run,,ClassNotFoundException,,,,TestHBaseSaslRpcClient.java,,loadClass,FailedServerException
