Bug ID,Commit Files
HBASE-10304,"* bbf242cdaf1795fd73ce9b42f0db8d513c385166 HBASE-10304 [docbook update] Running an hbase job jar: IllegalAccessError
  src/main/docbkx/book.xml"
HBASE-10310,"* b8c7e3e3805906312f5ba4dc5333f4c031914a31 HBASE-10310. ZNodeCleaner session expired for /hbase/master (Samir Ahmic)
  hbase-server/src/main/java/org/apache/hadoop/hbase/ZNodeClearer.java"
HBASE-10336,"* 26096f363e8645ec61982ef26073e3172f1ce91c HBASE-10336 Remove deprecated usage of Hadoop HttpServer in InfoServer (Eric Charles)
  hbase-common/src/main/resources/hbase-default.xml
  hbase-server/pom.xml
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/AdminAuthorizedServlet.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/FilterContainer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/FilterInitializer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/HtmlQuoting.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/HttpConfig.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/HttpRequestLog.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/HttpRequestLogAppender.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/HttpServer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/InfoServer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/NoCacheFilter.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/ServerConfigurationKeys.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/conf/ConfServlet.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/jmx/JMXJsonServlet.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/jmx/package-info.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/lib/StaticUserWebFilter.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/lib/package-info.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/log/LogLevel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/http/package-info.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/HMaster.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/RESTServer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/GenericTestUtils.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/TimedOutTestsListener.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/HttpServerFunctionalTest.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestGlobalFilter.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHtmlQuoting.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHttpRequestLog.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHttpRequestLogAppender.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHttpServer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHttpServerLifecycle.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestHttpServerWebapps.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestPathFilter.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestSSLHttpServer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/TestServletFilter.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/conf/TestConfServlet.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/jmx/TestJMXJsonServlet.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/lib/TestStaticUserWebFilter.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/log/TestLogLevel.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/resource/JerseyResource.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/http/ssl/KeyStoreTestUtil.java
  hbase-server/src/test/resources/webapps/static/test.css
  hbase-server/src/test/resources/webapps/test/testjsp.jsp
  hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift/ThriftServer.java
  hbase-thrift/src/main/java/org/apache/hadoop/hbase/thrift2/ThriftServer.java"
HBASE-10338,"* 6cc0c86133666a249746a61cc6ce68d68a1e3fb7 Amend HBASE-10338 Fix NPE if the server is terminated before the RegionServerCoprocessorHost is initialized (Vandana Ayyalasomayajula)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
* 279e890edd15428a757c2f5a4030d5df89b04c6c HBASE-10338. Region server fails to start with AccessController coprocessor if installed into RegionServerCoprocessorHost (Vandana Ayyalasomayajula)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/access/SecureTestUtil.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/security/access/TestAccessController.java"
HBASE-10370,"* 5645d48eaccee8339d578053a98ddec60fc87e12 HBASE-10377 Add test for HBASE-10370 Compaction in out-of-date Store causes region split failure
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestSplitTransactionOnCluster.java
* bebb59dc10a5e1792d1cf5de9fcd3f2d9412a20b HBASE-10370 Compaction in out-of-date Store causes region split failure, fix only
| hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
* c27bfd6acc869952f2ded9d816138c304e892771 HBASE-10370 revert due to TestSplitTransactionOnCluster.testSplitFailedCompactionAndSplit failure
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestSplitTransactionOnCluster.java
* e7c36e782217ae659f2d90c62614495abd2e5ff2 HBASE-10370 Compaction in out-of-date Store causes region split failed
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestSplitTransactionOnCluster.java"
HBASE-1039,"* 58208a275a7dd6c6ca2b079f9a947b684878dd56 HBASE-1039 Compaction fails if bloomfilters are enabled
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/io/BloomFilterMapFile.java
  src/java/org/apache/hadoop/hbase/regionserver/MemcacheFlusher.java
  src/java/org/onelab/filter/Filter.java"
HBASE-10392,"* 9924b66e258254f1bae3f4c593a095923b2bb4b2 HBASE-10392 Correct references to hbase.regionserver.global.memstore.upperLimit
  hbase-common/src/main/java/org/apache/hadoop/hbase/HBaseConfiguration.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java
  src/main/docbkx/ops_mgt.xml
  src/main/docbkx/performance.xml"
HBASE-1042,"* 977f3934d08e80c3951a24b50c90e84b031dcff4 HBASE-1042 OOME but we don't abort
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/RemoteExceptionHandler.java
  src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
* d479c750deede9ac4589ce1fbf8d159048e9ebf1 HBASE-1042 OOME but we don't abort
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/Leases.java
  src/java/org/apache/hadoop/hbase/master/ServerManager.java
  src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java"
HBASE-10431,"* 5ecb63b539bc99e019a317e47c328d2a4d4d9b18 HBASE-10431 Rename com.google.protobuf.ZeroCopyLiteralByteString - delete ZeroCopyLiteralByteString
| hbase-protocol/src/main/java/com/google/protobuf/ZeroCopyLiteralByteString.java
* e0c10338912886aff82eb5d9f5f92e1ec62b3c1f HBASE-10431 Rename com.google.protobuf.ZeroCopyLiteralByteString
  hbase-client/src/main/java/org/apache/hadoop/hbase/ClusterStatus.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/HTableDescriptor.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/RegionTransition.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/BigDecimalColumnInterpreter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/SecureBulkLoadClient.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/ByteArrayComparable.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/ColumnPaginationFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/ColumnPrefixFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/ColumnRangeFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/DependentColumnFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/FirstKeyValueMatchingQualifiersFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/FuzzyRowFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/InclusiveStopFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/MultipleColumnPrefixFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/PrefixFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/filter/SingleColumnValueFilter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/MasterCoprocessorRpcChannel.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/RegionCoprocessorRpcChannel.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/protobuf/ProtobufUtil.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/protobuf/RequestConverter.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/security/EncryptionUtil.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlClient.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityClient.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKUtil.java
  hbase-client/src/test/java/org/apache/hadoop/hbase/client/TestClientNoCluster.java
  hbase-protocol/src/main/java/com/google/protobuf/HBaseZeroCopyByteString.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/codec/MessageCodec.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/io/Reference.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFile.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/TableSnapshotInputFormat.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/protobuf/ReplicationProtbufUtil.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/HLogKey.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/SecureProtobufLogWriter.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/model/CellModel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/model/CellSetModel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/model/ScannerModel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/model/StorageClusterStatusModel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/rest/model/TableInfoModel.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityController.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityUtils.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorEndpoint.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestRowProcessorEndpoint.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/protobuf/TestProtobufUtil.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestPriorityRpc.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/replication/regionserver/TestReplicationSink.java"
HBASE-10432,"* 1237a8505260d0d520211af930eddc2455370f52 HBASE-10432 Rpc retries non-recoverable error
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/RpcRetryingCaller.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/RpcClient.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java"
